model_id,brand_id,model_name,speed_mbps,price,rating,stock,sold_units
77,6,Linksys_Model_916,3600,257.47,4.45,243,49
78,7,Cisco_Model_461,10000,145.98,4.75,314,238
79,5,Tenda_Model_429,1200,355.52,3.46,218,184
80,8,Huawei_Model_627,150,397.58,4.87,434,35
81,4,Asus_Model_539,5400,58.58,3.14,892,189
82,6,Linksys_Model_679,1200,162.61,4.92,137,120
83,7,Cisco_Model_331,1200,38.96,4.51,245,73
84,6,Linksys_Model_343,2400,111.22,3.72,707,592
85,2,Netgear_Model_910,1200,308.58,3.66,408,308
86,9,Xiaomi_Model_944,1200,63.96,4.73,642,639
87,1,TP-Link_Model_866,2400,22.92,4.7,320,230
88,4,Asus_Model_965,10000,96.22,4.22,435,237
89,5,Tenda_Model_268,10000,126.31,3.45,971,676
90,7,Cisco_Model_774,10000,357.84,2.58,490,94
91,6,Linksys_Model_719,600,348.64,3.05,175,32
92,2,Netgear_Model_761,600,285.89,2.65,199,180
93,8,Huawei_Model_246,10000,362.79,3.11,657,409
94,4,Asus_Model_221,300,297.34,4.51,226,161
95,1,TP-Link_Model_197,1200,322.31,3.69,490,423
96,9,Xiaomi_Model_110,150,210.01,3.76,13,12
97,4,Asus_Model_225,1200,302.43,2.73,246,103
98,1,TP-Link_Model_159,300,175.98,3.17,837,542
99,2,Netgear_Model_167,3600,395.68,4.59,115,77
100,2,Netgear_Model_247,2400,158.74,2.94,927,416
101,10,Belkin_Model_351,10000,211.0,4.39,453,256
102,2,Netgear_Model_641,5400,170.55,4.29,638,57
103,1,TP-Link_Model_219,3600,37.5,3.32,394,270
104,9,Xiaomi_Model_166,600,105.62,3.99,579,391
105,1,TP-Link_Model_403,600,252.01,4.68,815,120
106,3,D-Link_Model_660,5400,192.98,3.43,502,67
107,9,Xiaomi_Model_461,150,47.05,2.53,930,10
108,6,Linksys_Model_699,5400,338.55,3.25,927,388
109,5,Tenda_Model_439,3600,213.62,4.69,705,670
110,10,Belkin_Model_632,150,276.95,3.52,624,329
111,6,Linksys_Model_926,600,81.96,4.66,158,146
112,4,Asus_Model_250,1200,190.26,2.69,747,611
113,3,D-Link_Model_992,2400,206.52,4.96,367,79
114,2,Netgear_Model_314,10000,212.07,3.98,606,524
115,1,TP-Link_Model_658,10000,32.37,3.12,180,34
116,4,Asus_Model_122,2400,65.15,3.83,941,245
117,10,Belkin_Model_952,10000,107.67,2.9,134,66
118,3,D-Link_Model_966,150,287.04,4.82,808,230
119,7,Cisco_Model_248,10000,251.7,4.76,372,319
120,1,TP-Link_Model_700,150,237.46,4.73,850,559
121,1,TP-Link_Model_525,600,392.98,4.56,129,18
122,1,TP-Link_Model_557,5400,146.46,4.94,900,336
123,1,TP-Link_Model_119,150,217.38,3.78,702,632
124,3,D-Link_Model_606,1200,322.29,3.0,823,44
125,9,Xiaomi_Model_241,3600,328.13,3.85,652,586
126,2,Netgear_Model_992,1200,337.62,4.37,990,813
127,2,Netgear_Model_764,600,109.86,4.72,595,141
128,8,Huawei_Model_496,300,66.73,4.41,286,110
129,5,Tenda_Model_775,150,295.72,3.96,603,327
130,5,Tenda_Model_463,300,81.33,4.56,233,169
131,10,Belkin_Model_979,5400,90.27,3.6,482,182
132,1,TP-Link_Model_823,1200,271.62,4.66,229,173
133,2,Netgear_Model_641,150,224.63,3.0,969,270
134,4,Asus_Model_113,150,282.77,4.79,292,152
135,5,Tenda_Model_710,3600,26.03,2.67,242,214
136,1,TP-Link_Model_691,10000,78.54,4.34,331,108
137,3,D-Link_Model_380,2400,365.32,4.04,392,15
138,10,Belkin_Model_496,3600,163.89,2.98,206,168
139,10,Belkin_Model_524,600,88.73,4.26,384,342
140,9,Xiaomi_Model_682,150,56.86,2.85,959,494
141,1,TP-Link_Model_403,5400,293.83,4.6,698,526
142,9,Xiaomi_Model_489,150,72.32,2.64,566,498
143,1,TP-Link_Model_220,3600,345.43,2.87,126,48
144,6,Linksys_Model_460,600,277.39,4.75,713,176
145,6,Linksys_Model_908,150,21.13,4.21,398,217
146,8,Huawei_Model_104,1200,354.58,3.49,742,334
147,5,Tenda_Model_561,3600,365.62,4.52,381,24
148,6,Linksys_Model_251,600,172.4,3.77,411,249
149,1,TP-Link_Model_777,1200,193.42,2.92,14,5
150,5,Tenda_Model_956,10000,305.58,2.84,697,137
151,4,Asus_Model_161,3600,153.84,3.03,138,63
152,7,Cisco_Model_701,300,56.9,2.62,837,164
153,4,Asus_Model_736,300,175.16,2.82,44,32
154,3,D-Link_Model_561,2400,290.52,4.57,84,62
155,1,TP-Link_Model_700,2400,77.6,3.53,345,138
156,10,Belkin_Model_814,5400,332.66,3.44,632,218
157,2,Netgear_Model_668,600,399.99,3.14,457,196
158,2,Netgear_Model_610,150,21.85,4.19,717,654
159,10,Belkin_Model_158,10000,379.79,2.8,175,6
160,4,Asus_Model_455,2400,44.05,3.18,616,200
161,8,Huawei_Model_315,300,125.94,3.73,983,128
162,6,Linksys_Model_327,1200,389.14,2.61,297,67
163,5,Tenda_Model_220,10000,320.11,3.81,564,203
164,4,Asus_Model_327,10000,107.26,3.79,99,82
165,2,Netgear_Model_595,1200,386.39,2.63,395,199
166,6,Linksys_Model_777,150,395.14,2.72,32,11
167,6,Linksys_Model_993,1200,113.24,3.82,771,606
168,7,Cisco_Model_312,10000,295.71,3.18,744,169
169,6,Linksys_Model_577,1200,223.88,3.5,312,170
170,8,Huawei_Model_944,2400,245.7,3.33,457,371
171,9,Xiaomi_Model_553,150,379.31,3.63,691,644
172,8,Huawei_Model_661,2400,200.48,3.56,872,391
173,5,Tenda_Model_622,300,155.85,4.55,178,160
174,1,TP-Link_Model_371,3600,273.23,4.31,752,56
175,9,Xiaomi_Model_782,600,349.15,4.95,477,22
176,4,Asus_Model_247,2400,270.12,3.68,721,55
177,5,Tenda_Model_407,300,391.45,2.63,746,343
178,6,Linksys_Model_381,300,195.29,3.68,458,48
179,9,Xiaomi_Model_341,1200,41.05,4.38,549,367
180,8,Huawei_Model_246,2400,236.15,2.78,885,123
181,6,Linksys_Model_457,300,60.92,4.8,767,721
182,3,D-Link_Model_297,2400,278.64,2.82,560,289
183,10,Belkin_Model_698,600,42.66,2.78,347,330
184,2,Netgear_Model_820,600,233.08,4.56,142,134
185,5,Tenda_Model_696,2400,239.7,3.74,350,110
186,1,TP-Link_Model_472,3600,39.74,4.53,46,40
187,10,Belkin_Model_378,10000,86.6,4.5,327,213
188,1,TP-Link_Model_105,600,33.58,3.52,545,396
189,3,D-Link_Model_717,600,61.15,4.5,127,110
190,3,D-Link_Model_687,2400,200.5,4.16,147,67
191,8,Huawei_Model_952,600,379.19,3.83,261,234
192,10,Belkin_Model_471,2400,141.51,3.33,609,463
193,8,Huawei_Model_197,300,35.71,4.45,110,103
194,4,Asus_Model_184,1200,161.8,3.8,837,335
195,10,Belkin_Model_201,10000,123.69,3.63,385,332
196,1,TP-Link_Model_392,150,258.8,4.58,929,789
197,2,Netgear_Model_707,150,398.77,2.51,625,555
198,1,TP-Link_Model_909,300,95.49,4.75,372,192
199,6,Linksys_Model_438,5400,298.1,4.37,618,305
200,7,Cisco_Model_917,150,355.05,4.03,445,6
201,10,Belkin_Model_849,10000,204.32,4.77,670,100
202,6,Linksys_Model_327,5400,205.85,4.32,84,75
203,1,TP-Link_Model_916,2400,200.35,2.84,507,407
204,6,Linksys_Model_820,3600,198.55,3.07,54,27
205,8,Huawei_Model_338,10000,47.15,3.94,809,251
206,5,Tenda_Model_253,10000,210.1,2.56,239,50
207,4,Asus_Model_486,300,308.36,2.76,307,294
208,3,D-Link_Model_563,300,102.33,4.45,246,107
209,4,Asus_Model_563,2400,147.07,3.49,420,293
210,7,Cisco_Model_261,3600,246.76,3.36,28,16
211,3,D-Link_Model_601,5400,305.25,4.6,923,156
212,6,Linksys_Model_150,300,320.49,3.37,910,909
213,1,TP-Link_Model_155,300,324.75,4.48,536,141
214,3,D-Link_Model_884,1200,281.03,4.16,198,60
215,5,Tenda_Model_902,1200,257.28,3.59,742,354
216,3,D-Link_Model_189,5400,122.1,3.9,864,645
217,6,Linksys_Model_195,600,210.76,3.41,125,28
218,5,Tenda_Model_701,5400,132.19,3.41,332,185
219,2,Netgear_Model_211,2400,78.51,4.04,755,382
220,10,Belkin_Model_513,5400,118.36,4.37,914,660
221,3,D-Link_Model_929,5400,270.79,3.42,158,141
222,6,Linksys_Model_972,150,265.67,3.0,914,572
223,10,Belkin_Model_942,150,298.58,4.98,677,583
224,7,Cisco_Model_341,5400,53.39,4.83,567,340
225,9,Xiaomi_Model_150,600,98.14,4.24,190,48
226,2,Netgear_Model_264,3600,316.69,2.69,811,19
227,10,Belkin_Model_104,300,183.03,2.95,740,145
228,3,D-Link_Model_568,1200,246.5,4.11,929,304
229,8,Huawei_Model_222,150,340.25,4.98,326,140
230,9,Xiaomi_Model_433,1200,197.62,4.93,846,659
231,1,TP-Link_Model_352,1200,259.77,3.65,576,257
232,3,D-Link_Model_299,300,388.64,4.09,570,121
233,4,Asus_Model_513,300,182.78,3.17,114,5
234,1,TP-Link_Model_350,2400,53.69,4.04,608,603
235,10,Belkin_Model_868,3600,363.86,4.73,991,779
236,4,Asus_Model_840,600,386.51,3.16,838,156
237,10,Belkin_Model_300,1200,34.36,4.65,497,387
238,2,Netgear_Model_289,10000,43.32,3.55,380,28
239,7,Cisco_Model_776,5400,354.5,3.62,238,103
240,4,Asus_Model_849,3600,239.61,3.44,764,560
241,9,Xiaomi_Model_622,5400,33.72,3.91,991,49
242,8,Huawei_Model_558,150,107.19,4.16,559,196
243,4,Asus_Model_125,600,123.9,3.5,129,117
244,4,Asus_Model_749,2400,74.41,4.08,12,9
245,3,D-Link_Model_490,10000,322.64,2.7,419,140
246,7,Cisco_Model_153,5400,126.96,4.96,854,690
247,8,Huawei_Model_702,10000,195.69,4.86,793,116
248,3,D-Link_Model_557,10000,349.59,3.17,270,67
249,9,Xiaomi_Model_288,300,398.71,4.19,580,421
250,8,Huawei_Model_903,2400,30.31,3.28,317,74
251,7,Cisco_Model_166,10000,194.05,4.05,350,255
252,9,Xiaomi_Model_545,2400,181.18,3.46,878,397
253,9,Xiaomi_Model_525,300,93.96,3.41,460,441
254,3,D-Link_Model_172,5400,136.29,3.4,152,115
255,10,Belkin_Model_783,2400,386.01,4.83,921,709
256,1,TP-Link_Model_246,3600,79.58,3.08,488,136
257,8,Huawei_Model_706,150,113.08,3.76,270,71
258,1,TP-Link_Model_422,300,165.34,4.11,921,204
259,10,Belkin_Model_880,3600,288.46,4.35,93,64
260,8,Huawei_Model_447,150,143.15,4.82,386,299
261,6,Linksys_Model_116,300,355.01,2.86,467,348
262,5,Tenda_Model_778,3600,365.02,4.89,231,191
263,6,Linksys_Model_155,10000,67.1,4.96,520,0
264,9,Xiaomi_Model_528,2400,206.63,3.61,929,440
265,9,Xiaomi_Model_893,2400,363.06,2.87,64,20
266,6,Linksys_Model_210,2400,219.89,3.4,742,633
267,10,Belkin_Model_530,2400,52.91,4.89,97,31
268,2,Netgear_Model_205,150,93.86,4.85,828,3
269,3,D-Link_Model_926,2400,276.92,3.22,514,142
270,9,Xiaomi_Model_166,2400,239.14,4.64,683,212
271,3,D-Link_Model_193,5400,299.05,2.88,782,681
272,10,Belkin_Model_358,600,267.74,3.62,894,337
273,7,Cisco_Model_136,5400,183.72,2.53,489,270
274,6,Linksys_Model_771,10000,339.47,3.92,854,713
275,10,Belkin_Model_377,2400,43.62,3.26,758,660
276,8,Huawei_Model_143,600,310.21,4.67,177,69
277,10,Belkin_Model_250,2400,158.64,3.86,731,130
278,5,Tenda_Model_411,600,68.46,4.34,858,819
279,1,TP-Link_Model_924,600,29.58,4.12,340,87
280,10,Belkin_Model_389,600,105.93,3.39,30,14
281,7,Cisco_Model_633,3600,63.64,4.57,582,454
282,3,D-Link_Model_430,2400,154.97,3.4,463,262
283,10,Belkin_Model_574,2400,29.62,2.64,673,530
284,7,Cisco_Model_476,1200,50.24,4.73,660,549
285,8,Huawei_Model_789,150,330.28,4.76,331,204
286,9,Xiaomi_Model_181,600,136.03,4.77,743,22
287,5,Tenda_Model_915,300,105.45,2.53,314,83
288,3,D-Link_Model_359,2400,172.74,4.78,838,649
289,2,Netgear_Model_184,2400,79.63,4.06,426,13
290,5,Tenda_Model_808,600,146.79,3.18,486,151
291,5,Tenda_Model_532,1200,70.0,2.52,827,822
292,10,Belkin_Model_353,300,320.02,3.91,438,341
293,10,Belkin_Model_391,3600,210.07,3.65,196,154
294,8,Huawei_Model_221,150,43.86,4.8,504,439
295,2,Netgear_Model_631,3600,75.09,3.95,749,282
296,1,TP-Link_Model_634,5400,226.73,3.67,355,339
297,10,Belkin_Model_706,300,373.37,3.69,22,1
298,4,Asus_Model_581,10000,265.66,4.81,696,575
299,4,Asus_Model_424,3600,127.97,4.4,161,25
300,4,Asus_Model_184,3600,207.3,4.37,329,240
301,5,Tenda_Model_598,600,264.88,3.09,172,94
302,10,Belkin_Model_159,1200,83.94,4.93,83,20
303,7,Cisco_Model_791,150,271.15,2.68,460,150
304,1,TP-Link_Model_276,10000,192.88,4.89,529,344
305,2,Netgear_Model_814,300,316.96,4.29,915,596
306,10,Belkin_Model_425,300,396.76,3.11,611,92
307,7,Cisco_Model_744,300,201.76,3.39,679,458
308,8,Huawei_Model_110,150,261.85,2.53,17,7
309,7,Cisco_Model_693,300,391.26,4.83,760,714
310,10,Belkin_Model_416,300,80.64,3.61,501,288
311,7,Cisco_Model_451,5400,249.15,4.93,458,51
312,8,Huawei_Model_877,600,104.51,3.71,770,723
313,8,Huawei_Model_546,2400,85.04,4.21,693,49
314,2,Netgear_Model_190,10000,107.38,3.49,260,0
315,1,TP-Link_Model_531,150,83.08,2.99,676,562
316,7,Cisco_Model_731,2400,284.59,4.77,436,286
317,3,D-Link_Model_162,2400,352.77,3.36,849,626
318,9,Xiaomi_Model_362,150,64.74,4.05,782,163
319,5,Tenda_Model_150,300,145.31,3.25,546,233
320,10,Belkin_Model_248,5400,123.35,3.2,425,145
321,4,Asus_Model_668,600,180.81,3.3,350,0
322,2,Netgear_Model_799,300,261.44,4.96,218,197
323,8,Huawei_Model_465,600,260.41,2.89,232,134
324,6,Linksys_Model_100,300,256.63,3.42,669,605
325,5,Tenda_Model_588,5400,196.48,2.93,331,330
326,6,Linksys_Model_569,10000,342.23,2.63,687,97
327,9,Xiaomi_Model_194,10000,393.54,4.49,850,695
328,5,Tenda_Model_583,10000,205.06,3.99,319,234
329,3,D-Link_Model_100,2400,181.33,3.87,196,55
330,7,Cisco_Model_791,1200,290.81,4.14,977,966
331,1,TP-Link_Model_561,300,267.15,4.13,174,103
332,2,Netgear_Model_102,1200,282.59,3.43,594,437
333,2,Netgear_Model_283,1200,324.16,4.44,465,309
334,9,Xiaomi_Model_763,300,286.09,3.24,371,329
335,2,Netgear_Model_182,5400,203.82,3.05,889,687
336,2,Netgear_Model_831,3600,292.58,2.6,62,36
337,7,Cisco_Model_592,1200,204.18,2.75,619,453
338,3,D-Link_Model_732,3600,310.92,2.55,494,65
339,4,Asus_Model_362,10000,153.7,3.27,337,167
340,8,Huawei_Model_920,10000,140.74,4.97,958,238
341,3,D-Link_Model_747,600,139.32,2.77,445,302
342,8,Huawei_Model_325,2400,96.84,4.47,427,395
343,2,Netgear_Model_153,3600,44.16,3.72,669,320
344,1,TP-Link_Model_148,300,151.76,2.84,365,279
345,6,Linksys_Model_732,3600,289.75,3.96,243,187
346,6,Linksys_Model_822,1200,385.22,4.02,451,293
347,6,Linksys_Model_713,10000,235.08,2.54,19,19
348,7,Cisco_Model_129,600,21.22,3.58,340,332
349,10,Belkin_Model_975,10000,20.41,3.73,589,521
350,10,Belkin_Model_847,150,279.89,4.81,674,134
351,6,Linksys_Model_146,150,381.61,4.19,667,147
352,7,Cisco_Model_361,2400,28.67,4.83,569,190
353,7,Cisco_Model_645,10000,180.94,4.68,715,72
354,8,Huawei_Model_367,600,147.85,2.51,931,140
355,10,Belkin_Model_214,10000,288.43,4.54,565,83
356,7,Cisco_Model_833,300,104.33,3.89,310,240
357,1,TP-Link_Model_849,10000,35.59,3.06,397,124
358,4,Asus_Model_246,1200,198.87,4.91,30,0
359,10,Belkin_Model_555,300,206.43,3.52,828,134
360,2,Netgear_Model_979,10000,246.84,4.95,374,91
361,6,Linksys_Model_551,300,305.84,4.26,332,39
362,2,Netgear_Model_132,600,53.16,4.75,348,308
363,5,Tenda_Model_787,150,370.68,4.87,800,89
364,10,Belkin_Model_453,600,135.65,3.38,183,6
365,6,Linksys_Model_386,1200,264.53,3.81,381,4
366,1,TP-Link_Model_768,300,262.28,3.76,203,168
367,10,Belkin_Model_453,300,192.16,4.23,412,251
368,8,Huawei_Model_126,150,275.17,2.59,502,257
369,7,Cisco_Model_336,3600,358.01,3.17,876,170
370,4,Asus_Model_265,600,372.38,2.98,541,446
371,10,Belkin_Model_415,1200,342.97,2.98,39,17
372,8,Huawei_Model_802,300,218.01,2.91,708,687
373,6,Linksys_Model_848,2400,327.53,4.86,784,325
374,8,Huawei_Model_536,600,53.22,4.53,82,41
375,4,Asus_Model_108,5400,244.42,2.52,908,38
376,4,Asus_Model_247,5400,164.04,4.62,307,23
377,6,Linksys_Model_523,1200,342.71,3.81,885,249
378,6,Linksys_Model_176,2400,20.78,2.76,860,74
379,3,D-Link_Model_885,5400,239.43,2.74,787,301
380,1,TP-Link_Model_744,3600,154.77,3.29,428,378
381,1,TP-Link_Model_620,2400,309.74,2.79,307,295
382,6,Linksys_Model_425,1200,200.46,4.56,499,76
383,10,Belkin_Model_405,10000,134.05,3.36,937,924
384,6,Linksys_Model_132,3600,365.16,3.53,157,25
385,10,Belkin_Model_504,150,173.7,2.92,861,646
386,6,Linksys_Model_806,1200,273.28,3.49,559,352
387,4,Asus_Model_393,5400,258.96,2.73,28,7
388,10,Belkin_Model_720,150,73.93,4.48,265,227
389,5,Tenda_Model_946,3600,322.2,2.52,921,33
390,9,Xiaomi_Model_610,10000,155.11,4.94,971,891
391,7,Cisco_Model_552,150,120.58,3.33,820,687
392,8,Huawei_Model_571,1200,42.24,2.67,429,286
393,7,Cisco_Model_180,3600,147.0,4.32,827,158
394,3,D-Link_Model_328,1200,196.2,3.7,192,66
395,1,TP-Link_Model_790,300,365.91,2.59,956,653
396,8,Huawei_Model_417,10000,232.2,3.93,312,182
397,7,Cisco_Model_698,3600,31.61,3.33,458,65
398,1,TP-Link_Model_681,1200,264.33,4.19,183,63
399,5,Tenda_Model_490,2400,112.44,5.0,819,505
400,4,Asus_Model_468,10000,41.76,3.06,384,298
401,9,Xiaomi_Model_689,150,78.69,3.01,460,401
402,6,Linksys_Model_881,600,105.61,3.95,381,66
403,9,Xiaomi_Model_922,5400,232.64,2.85,743,608
404,7,Cisco_Model_384,1200,176.23,4.0,359,4
405,4,Asus_Model_951,5400,261.33,3.02,680,88
406,10,Belkin_Model_334,600,373.16,3.56,164,101
407,7,Cisco_Model_457,3600,198.05,2.98,89,10
408,9,Xiaomi_Model_444,2400,382.18,4.66,719,607
409,10,Belkin_Model_773,10000,30.32,3.81,905,781
410,7,Cisco_Model_745,150,247.29,3.34,195,158
411,7,Cisco_Model_754,1200,94.28,3.04,360,136
412,3,D-Link_Model_337,3600,360.71,3.46,17,2
413,2,Netgear_Model_688,2400,179.67,4.97,385,184
414,2,Netgear_Model_802,150,181.07,4.19,692,340
415,1,TP-Link_Model_686,1200,143.01,4.99,355,193
416,5,Tenda_Model_298,2400,318.77,3.55,91,36
417,9,Xiaomi_Model_590,600,239.04,4.9,550,109
418,2,Netgear_Model_621,3600,361.76,3.92,240,5
419,4,Asus_Model_577,2400,381.7,3.49,907,507
420,5,Tenda_Model_124,5400,22.19,4.55,934,415
421,8,Huawei_Model_557,600,292.29,4.06,32,28
422,3,D-Link_Model_908,2400,48.27,4.31,936,534
423,1,TP-Link_Model_940,5400,78.3,3.61,931,759
424,8,Huawei_Model_149,600,236.28,4.93,300,221
425,7,Cisco_Model_863,10000,288.33,3.34,639,408
426,1,TP-Link_Model_547,1200,57.78,4.54,257,132
427,5,Tenda_Model_371,2400,208.22,2.55,934,101
428,1,TP-Link_Model_783,150,38.81,3.59,596,8
429,7,Cisco_Model_323,5400,208.97,3.29,587,478
430,10,Belkin_Model_628,150,356.04,4.54,676,362
431,4,Asus_Model_539,5400,73.96,3.82,613,33
432,9,Xiaomi_Model_507,10000,103.32,2.98,555,345
433,6,Linksys_Model_671,5400,289.19,3.67,776,629
434,2,Netgear_Model_774,10000,177.8,3.8,513,483
435,6,Linksys_Model_289,1200,313.12,4.89,145,78
436,10,Belkin_Model_813,300,306.22,4.2,942,391
437,5,Tenda_Model_159,5400,196.22,2.71,335,62
438,1,TP-Link_Model_347,5400,277.68,3.52,93,48
439,9,Xiaomi_Model_705,5400,269.3,3.15,477,181
440,1,TP-Link_Model_192,300,105.83,3.92,818,705
441,10,Belkin_Model_617,2400,62.3,3.2,119,55
442,7,Cisco_Model_328,300,287.55,3.23,845,439
443,1,TP-Link_Model_568,1200,205.98,3.41,303,64
444,2,Netgear_Model_900,600,210.75,2.92,113,33
445,8,Huawei_Model_933,150,271.69,4.74,18,13
446,6,Linksys_Model_231,5400,76.44,2.86,30,23
447,10,Belkin_Model_866,10000,301.71,3.66,464,274
448,10,Belkin_Model_130,3600,366.83,2.62,155,135
449,3,D-Link_Model_562,1200,255.33,4.85,479,435
450,1,TP-Link_Model_946,1200,87.35,4.55,710,367
451,4,Asus_Model_138,2400,148.86,3.53,568,396
452,1,TP-Link_Model_173,10000,371.27,4.3,632,93
453,3,D-Link_Model_870,1200,115.5,2.97,732,369
454,8,Huawei_Model_343,5400,179.92,4.53,650,107
455,10,Belkin_Model_393,5400,263.88,4.64,179,8
456,2,Netgear_Model_342,2400,100.84,2.53,244,215
457,9,Xiaomi_Model_601,2400,327.46,4.52,625,470
458,2,Netgear_Model_504,10000,309.14,4.03,176,33
459,1,TP-Link_Model_781,5400,275.37,3.21,734,651
460,3,D-Link_Model_777,1200,42.19,2.77,569,69
461,4,Asus_Model_649,10000,288.28,2.51,653,597
462,7,Cisco_Model_739,1200,124.63,4.09,340,296
463,5,Tenda_Model_506,3600,197.54,4.91,95,69
464,2,Netgear_Model_846,3600,165.7,4.94,214,66
465,2,Netgear_Model_287,150,281.84,3.62,963,930
466,3,D-Link_Model_304,600,204.89,3.06,332,176
467,7,Cisco_Model_278,600,25.94,2.93,923,142
468,1,TP-Link_Model_144,150,150.87,4.76,688,511
469,10,Belkin_Model_837,600,197.64,4.68,87,19
470,9,Xiaomi_Model_745,150,265.35,4.91,45,4
471,4,Asus_Model_761,300,376.83,4.44,353,293
472,1,TP-Link_Model_469,150,35.6,4.64,307,248
473,6,Linksys_Model_292,150,144.89,2.58,612,229
474,6,Linksys_Model_666,2400,356.95,4.14,835,559
475,1,TP-Link_Model_343,2400,230.74,3.62,630,530
476,1,TP-Link_Model_633,1200,225.48,3.56,291,92
477,9,Xiaomi_Model_563,2400,326.68,4.68,397,323
478,7,Cisco_Model_113,10000,203.02,3.83,357,227
479,5,Tenda_Model_155,1200,286.87,4.33,276,34
480,7,Cisco_Model_404,600,35.07,3.21,713,310
481,3,D-Link_Model_733,150,271.56,2.59,643,40
482,3,D-Link_Model_183,10000,94.7,2.57,925,714
483,4,Asus_Model_893,600,267.3,2.93,335,217
